"GT_X","GT_Y","Pred_X","Pred_Y","Distance"
1942448.15,5667483.75,38.87,46.88,5991059.54622933
1942430.15,5667482.95,38.87,46.88,5991052.95354307
1942456.45,5667482.65,38.87,46.88,5991061.19666362
1942468.55,5667482.45,38.87,46.88,5991064.93053165
1942440.95,5667481.35,38.87,46.88,5991054.94150509
1942463.85,5667480.55,38.87,46.88,5991061.60932916
1942452.55,5667480.15,38.87,46.88,5991057.56725422
1942431.85,5667479.85,38.87,46.88,5991050.57216147
1942473.85,5667479.75,38.87,46.88,5991064.0947568
1942466.95,5667477.85,38.87,46.88,5991060.06026376
1942448.25,5667477.45,38.87,46.88,5991053.61896241
1942470.45,5667477.35,38.87,46.88,5991060.72204795
1942460.05,5667476.95,38.87,46.88,5991056.97175822
1942427.35,5667476.65,38.87,46.88,5991046.08604532
1942454.85,5667476.15,38.87,46.88,5991054.5290301
1942444.35,5667474.65,38.87,46.88,5991049.70576119
1942431.85,5667474.45,38.87,46.88,5991045.46385265
1942437.25,5667474.25,38.87,46.88,5991047.02542484
1942464.05,5667474.15,38.87,46.88,5991055.61989185
1942474.75,5667473.75,38.87,46.88,5991058.71067121
1942451.05,5667473.55,38.87,46.88,5991050.8374441
1942466.45,5667471.05,38.87,46.88,5991053.46548041
1942470.85,5667470.85,38.87,46.88,5991054.7028597
1942457.15,5667470.65,38.87,46.88,5991050.07183542
1942436.85,5667468.85,38.87,46.88,5991041.7874312
1942453.75,5667468.45,38.87,46.88,5991046.88832817
1942426.65,5667468.05,38.87,46.88,5991037.72363833
1942467.95,5667467.35,38.87,46.88,5991050.45168247
1942440.45,5667467.15,38.87,46.88,5991041.34644332
1942460.45,5667466.95,38.87,46.88,5991047.64163068
1942430.75,5667466.45,38.87,46.88,5991037.53935067
1942445.55,5667466.05,38.87,46.88,5991041.95937502
1942472.35,5667465.65,38.87,46.88,5991050.27009232
1942465.05,5667464.55,38.87,46.88,5991046.8626925
1942455.05,5667462.95,38.87,46.88,5991042.10691429
1942430.15,5667462.15,38.87,46.88,5991033.27709413
1942435.75,5667462.05,38.87,46.88,5991034.99811008
1942467.45,5667461.75,38.87,46.88,5991044.99207759
1942461.45,5667461.15,38.87,46.88,5991042.47915949
1942473.75,5667460.95,38.87,46.88,5991046.27789459
1942439.45,5667460.65,38.87,46.88,5991034.87333949
1942429.25,5667459.65,38.87,46.88,5991030.62034202
1942470.95,5667458.65,38.87,46.88,5991043.19431497
1942444.35,5667458.15,38.87,46.88,5991034.09705345
1942449.45,5667457.95,38.87,46.88,5991035.56137455
1942465.85,5667457.85,38.87,46.88,5991040.78399641
1942434.35,5667457.65,38.87,46.88,5991030.38188227
1942457.15,5667455.55,38.87,46.88,5991035.78751365
1942473.45,5667453.55,38.87,46.88,5991039.18037099
1942460.65,5667452.25,38.87,46.88,5991033.80054922
1942451.95,5667452.05,38.87,46.88,5991030.79063176
1942465.95,5667451.15,38.87,46.88,5991034.47834609
1942456.55,5667451.05,38.87,46.88,5991031.33606477
1942439.95,5667450.65,38.87,46.88,5991025.57562521
1942443.45,5667448.65,38.87,46.88,5991024.81842666
1942474.95,5667446.95,38.87,46.88,5991033.42323524
1942462.25,5667446.75,38.87,46.88,5991029.11640785
1942453.85,5667446.05,38.87,46.88,5991025.7307614
1942466.55,5667440.95,38.87,46.88,5991025.02387541
1942472.75,5667438.95,38.87,46.88,5991025.1420997
1942448.91409515,5667446.57688658,38.87,46.88,5991024.6288654
